x_target,y_target,z_target,x_error,y_error,z_error,j1,j2,j3,j4,j5,j6
200.0,88.23529411764706,140.0,1.4000000000000057,10.664705882352948,10.800000000000011,41.3,-26.89,-87.01,27.42,0.79,-51.06
200.0,76.47058823529412,140.0,5.699999999999989,13.829411764705881,9.0,38.05,-27.68,-87.01,29.0,1.84,-54.31
200.0,64.70588235294117,140.0,11.800000000000011,12.794117647058826,8.5,33.75,-27.94,-87.01,29.09,1.84,-58.53
200.0,52.94117647058824,140.0,16.80000000000001,9.058823529411761,8.099999999999994,29.97,-27.94,-87.01,29.09,1.84,-62.13
200.0,41.17647058823529,140.0,20.400000000000006,6.723529411764709,8.099999999999994,26.36,-27.94,-87.01,29.17,1.84,-65.74
200.0,29.411764705882348,140.0,23.099999999999994,4.288235294117655,8.199999999999989,22.67,-27.94,-87.01,29.17,1.84,-69.25
200.0,17.64705882352942,140.0,24.80000000000001,1.5529411764705792,8.199999999999989,19.07,-27.94,-87.01,29.17,1.84,-72.94
200.0,5.882352941176478,140.0,25.599999999999994,-2.182352941176478,8.199999999999989,15.11,-27.94,-87.01,29.17,1.84,-76.81
200.0,-5.882352941176478,140.0,25.30000000000001,-4.517647058823522,8.199999999999989,11.51,-27.94,-87.01,29.17,1.84,-80.5
200.0,-17.64705882352942,140.0,24.30000000000001,-6.552941176470579,8.199999999999989,7.99,-27.94,-87.01,29.17,1.84,-84.02
200.0,-29.411764705882348,140.0,22.30000000000001,-9.188235294117653,8.199999999999989,4.3,-27.94,-87.01,29.17,1.84,-87.62
200.0,-41.176470588235304,140.0,19.400000000000006,-11.323529411764696,8.199999999999989,0.61,-27.94,-87.01,29.17,1.84,-91.05
200.0,-52.94117647058823,140.0,15.099999999999994,-14.858823529411765,8.199999999999989,-3.69,-27.94,-87.01,29.17,1.84,-94.65
200.0,-64.70588235294116,140.0,9.900000000000006,-17.79411764705884,8.199999999999989,-7.11,-27.94,-87.01,29.17,1.84,-96.41
200.0,-76.47058823529412,140.0,5.300000000000011,-16.92941176470589,8.199999999999989,-9.22,-27.94,-87.01,29.17,1.84,-96.5
200.0,-88.23529411764704,140.0,4.0,-7.8647058823529505,8.300000000000011,-9.31,-27.94,-87.01,29.17,1.93,-96.59
200.0,100.0,140.0,1.4000000000000057,1.7000000000000028,4.5,43.15,-28.65,-86.3,26.89,-0.96,-49.48
200.0,88.23529411764706,140.0,3.3000000000000114,9.764705882352942,4.5,40.34,-28.65,-86.3,26.89,0.35,-54.14
200.0,76.47058823529412,140.0,8.199999999999989,9.029411764705884,4.300000000000011,36.21,-28.65,-86.92,27.15,2.9,-58.27
200.0,64.70588235294117,140.0,12.800000000000011,6.094117647058823,3.1999999999999886,32.34,-28.65,-87.36,27.94,3.07,-62.22
200.0,52.94117647058824,140.0,17.0,3.358823529411758,3.0,28.21,-28.65,-87.36,27.94,3.07,-66.35
200.0,41.17647058823529,140.0,20.599999999999994,-1.3764705882352928,3.0,23.9,-28.65,-87.36,27.94,3.07,-70.57
200.0,29.411764705882348,140.0,22.900000000000006,-6.3117647058823465,3.0,19.51,-28.65,-87.36,27.94,3.07,-74.79
200.0,17.64705882352942,140.0,24.099999999999994,-11.34705882352942,3.0,15.29,-28.65,-87.36,27.94,3.07,-79.01
200.0,5.882352941176478,140.0,23.900000000000006,-15.982352941176478,3.0,11.16,-28.65,-87.36,27.94,3.07,-83.14
200.0,-5.882352941176478,140.0,22.599999999999994,-20.31764705882352,3.0,6.94,-28.65,-87.36,27.94,3.07,-87.45
200.0,-17.64705882352942,140.0,20.0,-25.152941176470577,3.0,2.63,-28.65,-87.36,27.94,3.07,-90.96
200.0,-29.411764705882348,140.0,16.30000000000001,-29.48823529411765,3.0,-1.66,-28.65,-87.36,27.94,3.07,-95.44
200.0,-41.176470588235304,140.0,11.199999999999989,-33.823529411764696,3.0,-5.8,-28.65,-87.36,27.94,3.07,-98.7
200.0,-52.94117647058823,140.0,5.699999999999989,-36.15882352941176,3.0,-9.05,-28.65,-87.36,27.94,2.98,-98.87
200.0,-64.70588235294116,140.0,2.6999999999999886,-30.994117647058843,3.0,-9.58,-28.65,-87.36,27.94,2.98,-98.96
200.0,-76.47058823529412,140.0,2.4000000000000057,-19.82941176470588,3.0,-9.66,-28.65,-87.36,27.94,2.98,-99.05
200.0,-88.23529411764704,140.0,2.4000000000000057,-8.164705882352962,3.0,-9.66,-28.65,-87.36,27.94,2.9,-99.05
200.0,100.0,140.0,0.30000000000001137,0.7999999999999972,6.699999999999989,43.06,-27.5,-87.27,27.42,0.35,-47.28
200.0,88.23529411764706,140.0,1.6999999999999886,9.764705882352942,6.699999999999989,40.69,-27.5,-87.27,27.42,0.52,-51.76
200.0,76.47058823529412,140.0,7.5,8.42941176470589,6.699999999999989,36.38,-27.5,-87.27,27.42,0.52,-55.89
200.0,64.70588235294117,140.0,13.400000000000006,4.094117647058823,6.699999999999989,31.99,-27.5,-87.27,27.42,0.52,-60.02
200.0,52.94117647058824,140.0,17.900000000000006,-0.34117647058823763,6.699999999999989,27.94,-27.5,-87.27,27.42,0.52,-64.42
200.0,41.17647058823529,140.0,21.099999999999994,-4.0764705882352885,6.699999999999989,23.81,-27.5,-87.27,27.42,0.52,-68.46
200.0,29.411764705882348,140.0,23.19999999999999,-8.711764705882349,6.699999999999989,19.42,-27.5,-87.27,27.42,0.52,-72.77
200.0,17.64705882352942,140.0,24.19999999999999,-13.74705882352942,6.699999999999989,15.11,-27.5,-87.27,27.42,0.52,-76.81
200.0,5.882352941176478,140.0,23.80000000000001,-19.082352941176477,6.699999999999989,10.81,-27.5,-87.27,27.42,0.52,-81.12
200.0,-5.882352941176478,140.0,22.19999999999999,-23.717647058823523,6.699999999999989,6.59,-27.5,-87.27,27.42,0.52,-85.34
200.0,-17.64705882352942,140.0,19.599999999999994,-27.25294117647058,6.699999999999989,2.63,-27.5,-87.27,27.42,0.52,-89.2
200.0,-29.411764705882348,140.0,15.699999999999989,-31.48823529411765,6.699999999999989,-1.58,-27.5,-87.27,27.42,0.52,-93.25
200.0,-41.176470588235304,140.0,10.5,-35.823529411764696,6.699999999999989,-5.8,-27.5,-87.18,27.42,0.52,-96.85
200.0,-52.94117647058823,140.0,5.5,-37.75882352941177,5.800000000000011,-8.7,-28.21,-87.18,28.65,0.7,-97.11
200.0,-64.70588235294116,140.0,3.6999999999999886,-31.894117647058835,5.900000000000006,-9.31,-28.3,-87.18,28.82,0.87,-97.2
200.0,-76.47058823529412,140.0,3.5,-20.42941176470589,5.900000000000006,-9.31,-28.3,-87.18,28.82,0.87,-97.29
200.0,-88.23529411764704,140.0,3.5,-8.664705882352962,5.900000000000006,-9.31,-28.3,-87.18,28.82,0.87,-97.47
200.0,100.0,140.0,0.4000000000000057,-0.20000000000000284,7.599999999999994,42.89,-27.15,-87.27,27.07,0.17,-47.28
200.0,88.23529411764706,140.0,0.9000000000000057,10.664705882352948,7.599999999999994,41.3,-27.15,-87.27,27.07,0.52,-51.15
200.0,76.47058823529412,140.0,5.300000000000011,12.42941176470589,7.599999999999994,37.88,-27.15,-87.27,27.07,1.31,-54.31
200.0,64.70588235294117,140.0,10.5,10.89411764705882,7.599999999999994,33.57,-27.15,-87.27,27.07,1.31,-58.35
200.0,52.94117647058824,140.0,15.5,6.9588235294117595,7.599999999999994,29.79,-27.15,-87.27,27.07,1.31,-61.96
200.0,41.17647058823529,140.0,19.099999999999994,3.7235294117647086,7.599999999999994,25.57,-27.15,-87.27,27.07,1.31,-66.26
200.0,29.411764705882348,140.0,21.69999999999999,-0.11176470588234722,7.599999999999994,21.79,-27.15,-87.27,27.07,1.31,-69.87
200.0,17.64705882352942,140.0,23.19999999999999,-2.64705882352942,7.599999999999994,18.28,-27.15,-87.27,27.07,1.31,-73.47
200.0,5.882352941176478,140.0,23.69999999999999,-4.582352941176478,7.599999999999994,14.76,-27.15,-87.27,27.07,1.31,-76.99
200.0,-5.882352941176478,140.0,23.400000000000006,-6.417647058823523,7.300000000000011,11.16,-27.5,-87.27,27.15,1.31,-80.68
200.0,-17.64705882352942,140.0,23.19999999999999,-8.15294117647058,6.300000000000011,7.73,-28.21,-87.27,29.0,1.4,-84.28
200.0,-29.411764705882348,140.0,21.900000000000006,-9.88823529411765,6.0,4.13,-28.3,-87.18,29.09,1.4,-87.8
